State,"CLINTON, WILLIAM JEFFERSON","BUSH, GEORGE","PEROT, ROSS","BUCHANAN, PATRICK J","BROWN, EDMUND G JR","TSONGAS, PAUL E","KERREY, J ROBERT (BOB) SENATOR","HARKIN, TOM","FULANI, LENORA B","LAROUCHE, LYNDON H JR"
NE,"$22,850.00 ","$118,665.00 ","$3,744.00 ","$15,450.00 ",$0.00 ,"$3,500.00 ","$417,416.00 ","$11,250.00 ",$0.00 ,"$37,800.00 "
AK,"$16,750.00 ","$53,000.00 ","$2,154.00 ","$5,675.00 ",$0.00 ,"$5,000.00 ","$9,850.00 ","$6,200.00 ",$0.00 ,"$6,500.00 "
WY,"$13,400.00 ","$11,500.00 ","$7,068.00 ","$1,250.00 ",$0.00 ,"$1,900.00 ","$6,740.00 ","$1,500.00 ",$0.00 ,"$6,200.00 "
DE,"$11,700.00 ","$51,245.00 ","$2,762.00 ","$1,500.00 ",$0.00 ,"$3,250.00 ",$0.00 ,"$6,000.00 ",$200.00 ,"$9,900.00 "
MT,"$8,850.00 ","$22,147.00 ","$5,214.00 ","$4,600.00 ",$0.00 ,$250.00 ,$500.00 ,"$3,440.00 ",$0.00 ,"$4,450.00 "
ID,"$7,050.00 ","$24,790.00 ","$6,816.00 ","$6,000.00 ",$0.00 ,$250.00 ,$500.00 ,$250.00 ,$0.00 ,"$11,300.00 "
SD,"$4,600.00 ","$34,525.00 ","$7,624.00 ","$1,950.00 ",$0.00 ,"$1,000.00 ","$10,650.00 ","$6,390.00 ",$0.00 ,"$24,028.00 "
ND,"$3,350.00 ","$9,130.00 ","$4,096.00 ","$3,450.00 ",$0.00 ,$0.00 ,"$1,000.00 ",$0.00 ,$0.00 ,"$7,250.00 "
VI,"$3,270.00 ","$2,000.00 ",$0.00 ,$800.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
PR,"$1,000.00 ","$7,500.00 ",$0.00 ,"$1,450.00 ",$0.00 ,$750.00 ,$0.00 ,"$19,750.00 ",$0.00 ,"$3,750.00 "
GU,$250.00 ,"$4,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
AS,$0.00 ,"$1,000.00 ",$0.00 ,$300.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
