State,"BUSH, GEORGE W","KERRY, JOHN F","DEAN, HOWARD","EDWARDS, JOHN","CLARK, WESLEY K","GEPHARDT, RICHARD A","LIEBERMAN, JOSEPH I","KUCINICH, DENNIS J","LAROUCHE, LYNDON H JR","NADER, RALPH"
KS,"$1,065,172.24 ","$424,461.79 ","$84,203.20 ","$48,275.00 ","$25,428.25 ","$138,373.05 ","$7,700.00 ","$11,877.40 ","$59,845.00 ","$1,795.00 "
NE,"$972,049.32 ","$184,537.89 ","$31,521.30 ","$22,820.00 ","$17,704.00 ","$24,735.00 ","$5,925.00 ","$5,014.10 ","$62,237.50 ",$150.00 
MS,"$956,898.65 ","$412,259.88 ","$19,799.11 ","$340,060.00 ","$28,500.00 ","$34,600.00 ",$900.00 ,"$1,932.50 ","$12,401.00 ",$475.00 
HI,"$949,668.56 ","$324,579.00 ","$80,799.54 ","$50,013.00 ","$20,150.00 ","$7,750.00 ","$1,750.00 ","$46,757.41 ","$15,310.00 ","$9,740.00 "
NM,"$935,976.83 ","$1,263,900.82 ","$301,206.20 ","$145,601.00 ","$83,674.00 ","$35,115.38 ","$33,715.00 ","$90,178.18 ","$40,936.00 ","$10,592.22 "
IA,"$747,436.10 ","$536,377.13 ","$137,487.71 ","$85,286.00 ","$22,130.09 ","$36,831.20 ","$18,275.00 ","$54,941.83 ","$63,055.00 ","$9,992.00 "
NH,"$635,338.06 ","$834,142.82 ","$437,621.37 ","$49,943.00 ","$61,709.00 ","$39,503.70 ","$33,825.00 ","$44,896.96 ","$16,965.00 ","$12,177.45 "
WV,"$569,602.15 ","$471,123.73 ","$31,850.11 ","$29,600.00 ","$7,699.40 ","$42,300.00 ",$780.00 ,"$7,700.90 ","$22,055.00 ","$5,015.00 "
UT,"$565,012.20 ","$289,889.00 ","$88,450.36 ","$19,025.00 ","$19,375.00 ","$13,100.00 ","$8,790.00 ","$13,226.00 ","$67,191.50 ","$5,150.00 "
WY,"$558,612.00 ","$255,881.00 ","$25,083.10 ","$13,335.00 ","$13,825.00 ","$5,910.00 ",$250.00 ,"$3,713.70 ","$22,823.00 ","$5,058.00 "
DE,"$552,480.40 ","$263,889.60 ","$47,873.09 ","$47,665.00 ","$14,299.00 ","$20,011.60 ","$28,600.00 ","$2,377.30 ","$51,160.00 ","$1,595.00 "
PR,"$442,225.00 ","$154,300.00 ","$42,735.00 ","$3,000.00 ","$18,400.00 ","$61,000.00 ","$1,000.00 ",$0.00 ,"$3,220.00 ",$0.00 
MT,"$429,741.90 ","$162,778.04 ","$39,528.80 ","$14,450.00 ","$8,065.00 ","$1,345.00 ",$0.00 ,"$10,581.40 ","$33,146.00 ","$4,985.00 "
ME,"$399,303.33 ","$1,047,763.13 ","$216,055.18 ","$7,760.00 ","$28,816.00 ","$14,011.66 ","$2,000.00 ","$51,259.44 ","$16,551.00 ","$17,565.00 "
SD,"$381,487.50 ","$81,098.33 ","$15,064.08 ","$7,000.00 ","$6,334.00 ","$3,400.00 ","$8,550.00 ","$2,127.00 ","$83,515.00 ","$2,350.00 "
ID,"$377,324.00 ","$362,201.40 ","$42,139.33 ","$4,150.00 ","$9,500.00 ","$6,700.00 ",$150.00 ,"$4,420.60 ","$54,628.00 ","$4,256.15 "
OT,"$355,089.00 ","$1,650,003.14 ","$113,942.03 ","$19,021.96 ","$274,883.33 ","$34,971.97 ","$21,750.00 ","$136,293.59 ","$33,063.13 ","$4,091.00 "
RI,"$315,870.00 ","$995,584.23 ","$179,178.59 ","$51,766.00 ","$30,331.00 ","$56,125.00 ","$46,775.00 ","$5,921.30 ","$23,870.00 ",$750.00 
AK,"$292,315.90 ","$197,346.00 ","$49,556.14 ","$6,125.00 ","$14,645.00 ",$885.00 ,$250.00 ,"$13,025.50 ","$50,462.00 ","$3,916.45 "
VT,"$274,328.00 ","$512,794.95 ","$1,317,773.35 ","$9,150.00 ","$24,720.00 ","$10,825.00 ","$6,275.00 ","$19,096.10 ","$15,985.00 ","$17,575.00 "
ND,"$150,614.74 ","$45,820.00 ","$6,779.04 ","$5,800.00 ","$2,075.00 ","$1,400.00 ",$0.00 ,$780.00 ,"$33,835.00 ",$0.00 
GU,"$59,080.00 ","$4,600.00 ",$400.00 ,"$2,750.00 ",$0.00 ,$250.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
AE,"$39,907.50 ","$20,326.00 ","$3,161.00 ",$300.00 ,"$4,700.00 ",$125.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
VI,"$39,580.00 ","$42,700.00 ",$670.00 ,"$5,250.00 ","$2,200.00 ","$6,000.00 ","$3,000.00 ",$500.00 ,$775.00 ,$0.00 
MP,"$36,800.00 ","$1,200.00 ",$250.00 ,$0.00 ,$250.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
AP,"$8,850.00 ","$11,229.00 ","$6,040.00 ",$250.00 ,"$1,245.00 ",$0.00 ,$0.00 ,$0.00 ,$225.00 ,$0.00 
AA,"$1,500.00 ","$4,755.00 ",$0.00 ,$0.00 ,"$1,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
ZZ,$0.00 ,"$281,258.32 ","$2,000.26 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$9,807.50 ",$250.00 ,"$5,562.00 "
AS,$0.00 ,"$3,375.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
